;Sequence name;Start;End;Region Type;Region Length
563;TcDm28c_31;417302;567601;Disruptive;150300
564;TcDm28c_31;567602;585579;Core;17978
565;TcDm28c_32;1;1201;Core;1201
566;TcDm28c_32;1202;124501;Disruptive;123300
567;TcDm28c_32;124502;230401;Core;105900
568;TcDm28c_32;230402;245401;Disruptive;15000
569;TcDm28c_32;245402;505201;Core;259800
570;TcDm28c_32;505202;539701;Disruptive;34500
571;TcDm28c_32;539702;584768;Core;45067
572;TcDm28c_aMaxicircle;1;50477;Core;50477
